EmployeeID,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,21,Travel_Rarely,1141,Sales,7,2,Life Sciences,2,Female,60,3,2,Sales Executive,4,Single,2368,21519,1,Yes,16,3,1,0,4,3,1,0,2,3,9
11,45,Travel_Rarely,1423,Research & Development,1,3,Medical,1,Male,48,4,1,Laboratory Technician,2,Married,4841,19479,2,No,20,3,3,1,10,2,3,0,2,1,2
20,35,Travel_Rarely,337,Research & Development,4,3,Life Sciences,4,Male,82,3,1,Research Scientist,4,Single,2340,24812,7,Yes,14,3,3,0,25,2,3,5,7,1,10
36,37,Travel_Rarely,775,Research & Development,2,2,Medical,4,Female,79,4,1,Research Scientist,3,Divorced,17567,21146,6,No,14,3,4,2,20,5,2,15,2,0,6
53,26,Travel_Rarely,619,Sales,17,5,Marketing,2,Female,84,3,2,Sales Executive,1,Divorced,4306,22553,1,Yes,11,4,3,1,9,2,2,6,16,0,7
55,27,Travel_Rarely,583,Sales,7,3,Marketing,3,Female,36,2,2,Sales Executive,4,Married,13206,26376,4,Yes,11,3,3,1,8,3,2,5,1,1,8
62,32,Travel_Frequently,350,Research & Development,2,5,Life Sciences,4,Female,75,3,2,Laboratory Technician,4,Single,9936,15530,0,No,18,3,4,0,21,5,3,2,6,0,10
68,41,Travel_Rarely,200,Research & Development,5,3,Life Sciences,2,Male,54,3,3,Research Scientist,1,Divorced,4393,8751,1,No,12,3,3,1,17,2,3,10,0,1,2
71,36,Travel_Frequently,563,Sales,6,1,Life Sciences,1,Female,88,2,2,Sales Executive,3,Single,4876,14242,8,No,17,3,4,0,6,3,2,5,4,3,7
78,34,Travel_Rarely,711,Research & Development,24,4,Other,4,Male,76,3,3,Research Director,1,Married,10400,11591,3,Yes,14,3,2,0,5,2,4,40,2,1,8
81,50,Travel_Rarely,942,Research & Development,7,1,Life Sciences,4,Male,91,2,2,Laboratory Technician,4,Married,4502,11737,5,Yes,11,3,3,2,5,1,2,7,0,1,10
